# Nmap 7.80 scan initiated Mon Jul 13 03:30:06 2026 as: nmap -sT --top-ports 1000 -T4 -oN nmap_local_top1000.txt 127.0.0.1
Nmap scan report for localhost (127.0.0.1)
Host is up (0.00026s latency).
Not shown: 991 closed ports
PORT     STATE SERVICE
22/tcp   open  ssh
80/tcp   open  http
443/tcp  open  https
3000/tcp open  ppp
3003/tcp open  cgms
3306/tcp open  mysql
4000/tcp open  remoteanything
9090/tcp open  zeus-admin
9100/tcp open  jetdirect

# Nmap done at Mon Jul 13 03:30:06 2026 -- 1 IP address (1 host up) scanned in 0.13 seconds
